,GSWA_sample_id,area,equivalent_diameter,perimeter,minor_axis_length,major_axis_length,solidity,convex_area,form_factor,roundness,compactness,aspect_ratio,minimum_Feret,maximum_Feret,U238_ppm,Th232_ppm,SiO2_pct,oscillatory_zonation,sector_zonation,homogenous_zonation,bin
59,132918,3395.37,65.75,232.02,66.22,66.55,0.95,3570.88,0.79,0.98,0.99,1.01,64.5,75.17,127.0,131.0,66.18,1,0,0,70.0
60,132918,13978.77,133.41,477.71,97.5,182.96,0.99,14184.6,0.77,0.53,0.73,1.88,101.05,188.32,155.0,147.0,66.18,1,0,0,70.0
61,132918,15275.97,139.46,490.09,113.86,172.16,0.98,15561.57,0.8,0.66,0.81,1.51,110.46,176.16,137.0,117.0,66.18,1,0,0,70.0
62,135969,123632.0,396.75,1508.85,320.15,510.47,0.93,133524.0,0.68,0.6,0.78,1.59,331.68,506.86,15.0,36.0,56.844,1,1,0,60.0
63,135969,84956.0,328.89,1166.69,272.67,400.88,0.98,86632.0,0.78,0.67,0.82,1.47,266.63,405.89,25.0,35.0,56.844,1,1,0,60.0
64,135969,18572.0,153.77,553.02,131.98,186.17,0.95,19616.0,0.76,0.68,0.83,1.41,130.0,185.83,9.0,12.0,56.844,1,1,0,60.0
65,135969,100170.76,357.13,1252.8,342.05,384.68,0.96,104539.78,0.8,0.86,0.93,1.12,336.73,399.25,63.0,129.0,56.844,1,1,0,60.0
66,135969,43072.0,234.18,907.98,163.51,343.69,0.97,44568.0,0.66,0.46,0.68,2.1,156.12,343.92,76.0,94.0,56.844,1,1,0,60.0
67,135969,51028.0,254.89,890.69,233.15,283.49,0.98,52256.0,0.81,0.81,0.9,1.22,240.6,302.5,28.0,39.0,56.844,1,1,0,60.0
68,135969,49140.0,250.13,883.26,207.48,306.44,0.98,50356.0,0.79,0.67,0.82,1.48,219.2,326.55,20.0,40.0,56.844,1,1,0,60.0
69,135969,68172.0,294.62,1150.94,238.79,392.58,0.93,72996.0,0.65,0.56,0.75,1.64,308.58,428.96,43.0,142.0,56.844,1,1,0,60.0
70,135969,34868.0,210.7,812.63,143.98,315.62,0.97,35844.0,0.66,0.45,0.67,2.19,148.27,324.02,32.0,84.0,56.844,1,1,0,60.0
71,135969,135888.0,415.95,1503.76,346.33,508.44,0.96,142192.0,0.76,0.67,0.82,1.47,361.05,526.31,19.0,42.0,56.844,1,1,0,60.0
72,135969,123612.0,396.72,1500.6,339.61,478.68,0.93,132448.0,0.69,0.69,0.83,1.41,360.69,495.36,23.0,50.0,56.844,1,1,0,60.0
73,135969,20649.73,162.15,546.17,145.26,182.44,0.98,21078.72,0.87,0.79,0.89,1.26,146.94,188.66,21.0,36.0,56.844,1,1,0,60.0
74,135969,88675.55,336.01,1194.87,278.95,409.1,0.97,91457.73,0.78,0.67,0.82,1.47,289.13,419.76,35.0,50.0,56.844,1,1,0,60.0
75,135969,88164.0,335.04,1227.43,333.08,356.58,0.94,93516.0,0.74,0.88,0.94,1.07,317.71,395.78,11.0,16.0,56.844,1,1,0,60.0
76,135969,12615.58,126.74,464.74,107.33,157.07,0.97,13065.39,0.73,0.65,0.81,1.46,109.64,159.16,45.0,92.0,56.844,1,1,0,60.0
77,135969,27763.43,188.01,871.96,135.64,330.67,0.85,32769.68,0.46,0.32,0.57,2.44,154.04,346.44,27.0,45.0,56.844,1,1,0,60.0
78,135969,47555.19,246.07,884.58,188.27,327.75,0.98,48675.55,0.76,0.56,0.75,1.74,209.57,339.56,16.0,37.0,56.844,1,1,0,60.0
79,135969,33848.4,207.6,740.16,194.26,228.61,0.95,35655.98,0.78,0.82,0.91,1.18,188.92,241.7,44.0,79.0,56.844,1,1,0,60.0
80,135969,34248.23,208.82,721.64,191.5,229.36,0.98,35018.74,0.83,0.83,0.91,1.2,196.84,243.61,16.0,39.0,56.844,1,1,0,60.0
81,137664,22985.77,171.07,702.47,105.55,282.76,0.96,23848.25,0.59,0.37,0.61,2.68,108.2,286.35,231.0,91.0,66.914,1,0,0,70.0
82,137664,28131.09,189.26,746.27,118.17,307.8,0.98,28739.03,0.63,0.38,0.61,2.6,114.42,302.0,414.0,117.0,66.914,1,0,0,70.0
83,137664,20267.66,160.64,607.05,108.42,240.93,0.98,20618.79,0.69,0.44,0.67,2.22,106.69,237.8,324.0,140.0,66.914,1,0,0,70.0
84,137664,7224.81,95.91,476.34,40.72,233.08,0.97,7446.4,0.4,0.17,0.41,5.72,39.56,210.97,504.0,442.0,66.914,1,0,0,70.0
85,137664,20715.38,162.41,707.09,84.86,322.16,0.97,21296.04,0.52,0.25,0.5,3.8,82.1,296.35,485.0,161.0,66.914,1,0,0,70.0
86,137664,7677.07,98.87,353.61,88.46,113.78,0.97,7895.25,0.77,0.76,0.87,1.29,83.39,124.76,535.0,234.0,66.914,1,0,0,70.0
87,137664,10613.36,116.25,734.65,38.86,359.9,0.96,11100.85,0.25,0.1,0.32,9.26,37.71,327.21,217.0,111.0,66.914,1,0,0,70.0
88,137664,12054.23,123.89,601.28,58.42,270.23,0.97,12442.86,0.42,0.21,0.46,4.63,55.34,257.57,325.0,75.0,66.914,1,0,0,70.0
89,137664,13965.55,133.35,601.12,66.9,276.07,0.96,14601.9,0.49,0.23,0.48,4.13,65.54,254.26,350.0,331.0,66.914,1,0,0,70.0
90,137664,13156.48,129.43,556.24,68.49,250.18,0.96,13758.74,0.53,0.27,0.52,3.65,67.87,240.5,351.0,119.0,66.914,1,0,0,70.0
91,137664,16646.16,145.58,724.39,63.42,342.38,0.97,17233.65,0.4,0.18,0.43,5.4,60.46,318.6,532.0,179.0,66.914,1,0,0,70.0
92,137664,16277.99,143.96,617.34,74.5,284.28,0.97,16754.11,0.54,0.26,0.51,3.82,70.6,268.11,273.0,164.0,66.914,1,0,0,70.0
93,137664,25068.67,178.66,728.85,108.17,305.19,0.98,25639.11,0.59,0.34,0.59,2.82,100.21,288.95,461.0,197.0,66.914,1,0,0,70.0
94,137664,22597.14,169.62,617.92,126.8,229.94,0.99,22936.91,0.74,0.54,0.74,1.81,121.02,233.79,419.0,98.0,66.914,1,0,0,70.0
95,137664,19707.45,158.41,616.84,101.11,252.38,0.98,20146.07,0.65,0.39,0.63,2.5,95.73,252.33,565.0,250.0,66.914,1,0,0,70.0
96,137664,19508.59,157.6,643.94,96.8,264.21,0.96,20227.89,0.59,0.36,0.6,2.73,92.86,257.7,246.0,64.0,66.914,1,0,0,70.0
97,137664,18375.66,152.96,636.78,85.32,279.31,0.97,18892.69,0.57,0.3,0.55,3.27,82.54,269.65,534.0,66.0,66.914,1,0,0,70.0
98,137664,21690.35,166.18,676.21,101.85,281.09,0.97,22269.88,0.6,0.35,0.59,2.76,93.94,265.62,262.0,98.0,66.914,1,0,0,70.0
99,137664,24617.55,177.04,711.82,110.04,288.95,0.98,25049.35,0.61,0.38,0.61,2.63,103.13,282.28,434.0,338.0,66.914,1,0,0,70.0
100,142821,13180.96,129.55,494.71,85.07,198.13,0.98,13386.36,0.68,0.43,0.65,2.33,84.4,201.26,106.0,38.0,65.66,1,0,0,70.0
